Rule,Support,Confidence,Lift
"['mushroom cream sauce', 'escalope']",0.005732568990801226,0.3006993006993007,3.790832696715049
"['pasta', 'escalope']",0.005865884548726837,0.3728813559322034,4.700811850163794
"['ground beef', 'herb & pepper']",0.015997866951073192,0.3234501347708895,3.2919938411349285
"['tomato sauce', 'ground beef']",0.005332622317024397,0.3773584905660377,3.840659481324083
"['whole wheat pasta', 'olive oil']",0.007998933475536596,0.2714932126696833,4.122410097642296
"['shrimp', 'pasta']",0.005065991201173177,0.3220338983050847,4.506672147735896
"['chocolate', 'frozen vegetables', 'shrimp']",0.005332622317024397,0.23255813953488375,3.2545123221103784
"['cooking oil', 'ground beef', 'spaghetti']",0.004799360085321957,0.5714285714285714,3.2819951870487856
"['ground beef', 'frozen vegetables', 'spaghetti']",0.008665511265164644,0.31100478468899523,3.165328208890303
"['milk', 'frozen vegetables', 'olive oil']",0.004799360085321957,0.20338983050847456,3.088314005352364
"['frozen vegetables', 'shrimp', 'mineral water']",0.007199040127982935,0.30508474576271183,3.200616332819722
"['frozen vegetables', 'spaghetti', 'olive oil']",0.005732568990801226,0.20574162679425836,3.1240241752707125
"['frozen vegetables', 'shrimp', 'spaghetti']",0.005999200106652446,0.21531100478468898,3.0131489680782684
"['frozen vegetables', 'spaghetti', 'tomatoes']",0.006665777896280496,0.23923444976076558,3.4980460188216425
"['ground beef', 'grated cheese', 'spaghetti']",0.005332622317024397,0.3225806451612903,3.283144395325426
"['ground beef', 'mineral water', 'herb & pepper']",0.006665777896280496,0.39062500000000006,3.975682666214383
"['ground beef', 'spaghetti', 'herb & pepper']",0.006399146780429276,0.3934426229508197,4.004359721511667
"['milk', 'ground beef', 'olive oil']",0.004932675643247567,0.22424242424242427,3.40494417862839
"['ground beef', 'shrimp', 'spaghetti']",0.005999200106652446,0.5232558139534884,3.005315360233627
"['milk', 'spaghetti', 'olive oil']",0.007199040127982935,0.20300751879699247,3.0825089038385434
"['olive oil', 'mineral water', 'soup']",0.005199306759098787,0.22543352601156072,3.4230301186492245
"['olive oil', 'spaghetti', 'pancakes']",0.005065991201173177,0.20105820105820105,3.0529100529100526
